CODE,Location Name,lat,lon,Latitude/Longitude
H17,WARANGAL SUPER FRANCHISEE,17.9785298,79.6068373,"17.9785298,79.6068373"
H37,KARIMNAGAR SUPER FRANCHISEE,18.413139,79.135861,"18.413139,79.135861"
H42,MAHABUBNAGAR SUPER FRANCHISEE,16.767417,78.124722,"16.767417,78.124722"
H48,ANANDBAGH BRANCH,17.459601,78.557657,"17.459601,78.557657"
H53,NIZAMABAD SUPER FRANCHISEE,18.681137,78.095917,"18.681137,78.095917"
H64,TELANGANA T/S APEX,17.25955818,78.37652436,"17.25955818,78.37652436"
H66,HYDERABAD SCS APEX,17.5429966,78.4879812,"17.5429966,78.4879812"
H70,GACHIBOWLI MASTER FRANCHISEE,17.41879663,78.38070337,"17.41879663,78.38070337"
H71,MEHDIPATNAM MASTER FRANCHISEE,17.388393,78.429516,"17.388393,78.429516"
H74,BOWENPALLY BRANCH,17.4624121,78.4925714,"17.4624121,78.4925714"
H75,BACHUPALLY NIZAMPET ROAD BRANCH,17.537887,78.363998,"17.537887,78.363998"
H79,NAGOLE PRACEL BRANCH,17.38219998,78.56766162,"17.38219998,78.56766162"
H80,CHANDANAGAR BRANCH,17.49883763,78.31574381,"17.49883763,78.31574381"
H90,MEDCHAL APEX,17.5429966,78.4879812,"17.5429966,78.4879812"
H91,KHAMMAM BRANCH,17.24848457,80.12996734,"17.24848457,80.12996734"
H92,SURYAPET BRANCH,17.152417,79.621611,"17.152417,79.621611"
H96,SHAMSHABAD BRANCH,17.25955818,78.37652436,"17.25955818,78.37652436"
H98,MANCHERIAL SUPER FRANCHISEE,18.865111,79.45775,"18.865111,79.45775"
I01,INDORE APEX,22.746654,75.892436,"22.746654,75.892436"
I02,BHOPAL BRANCH,23.27432761,77.43983616,"23.27432761,77.43983616"
I03,PITHAMPUR SUB BRANCH,22.5950692,75.696276,"22.5950692,75.696276"
I10,BHOPAL T/S APEX,23.27432761,77.43983616,"23.27432761,77.43983616"
I07,RATLAM SORTING OFFICE,23.32854373,75.0364079,"23.32854373,75.0364079"
